title,url
"아버지·아내·아들 즉사한 공습... 모즈타바, 직전에 건물 떠나 생존",https://n.news.naver.com/article/023/0003964990?ntype=RANKING
현관문 막은 박스 20개… 대량 주문 고객 잘못? 택배 기사 분풀이?,https://n.news.naver.com/article/023/0003965004?ntype=RANKING
"이란, 2000Km 날아가 때린다... 고체연료 탄도미사일 첫 사용",https://n.news.naver.com/article/023/0003964993?ntype=RANKING
"최태원 “2030년까지 반도체 부족... 하이닉스, 美증시 상장도 검토”",https://n.news.naver.com/article/023/0003964996?ntype=RANKING
"트럼프의 잠 못 이루는 밤… 직접 전화 받는 대통령, ‘특종’이 쏟아진다",https://n.news.naver.com/article/023/0003964968?ntype=RANKING
"'미성년 2명 성폭행' 50대 유명 배우, 교도소서 숨진 채 발견",https://n.news.naver.com/article/025/0003509487?ntype=RANKING
'이영애 딸' 그 미성년 배우 깜짝…한양대 26학번 조기입학,https://n.news.naver.com/article/025/0003509537?ntype=RANKING
"[단독] 43㎝ 정육칼 들고 ""쑤셔버린다""…대낮 충격의 주차 시비",https://n.news.naver.com/article/025/0003509565?ntype=RANKING
中 하늘 시뻘겋다…한반도 숨 막히게 하는 '뜻밖 범인' 포착,https://n.news.naver.com/article/025/0003509573?ntype=RANKING
"하메네이 죽음이 득 됐다…""아버지도 도청"" 모즈타바 실체",https://n.news.naver.com/article/025/0003509516?ntype=RANKING
“1분 만에 끝났는데”…이 앱 깔았더니 성관계 시간 ‘2배’,https://n.news.naver.com/article/081/0003626518?ntype=RANKING
"“난 후레자식, 입금 안 하면 무차별 성폭행”…현관문에 도배한 막장 협박문",https://n.news.naver.com/article/081/0003626581?ntype=RANKING
부산서 항공사 기장 흉기에 찔려 숨져…‘앙심 품은 전 동료’ 추적,https://n.news.naver.com/article/081/0003626593?ntype=RANKING
[단독] “총에 맞아 죽었다”?… 멀쩡하게 살아있던 황소의 ‘죽음 미스터리’,https://n.news.naver.com/article/081/0003626546?ntype=RANKING
"이마트 직원, NCT 재민이 쏜 ‘상품권’ 가로챘다…신세계그룹 사과",https://n.news.naver.com/article/081/0003626544?ntype=RANKING
"""이란만 멀쩡""...이란 석유 수출량, 전쟁 전과 비슷",https://n.news.naver.com/article/052/0002328263?ntype=RANKING
이란 전쟁 18일째...호르무즈 해협 쪽으로 이동하는 '최강 항모' 포드함,https://n.news.naver.com/article/052/0002328247?ntype=RANKING
[속보] 50대 항공사 기장 흉기 피습 사망...용의자 추적,https://n.news.naver.com/article/052/0002328289?ntype=RANKING
"""땡큐 젠슨황"" 반도체 급등에 코스피 5,700선 회복",https://n.news.naver.com/article/052/0002328296?ntype=RANKING
"트럼프 ""미중 정상회담 한달 연기 요청""...""전쟁지휘가 우선""",https://n.news.naver.com/article/052/0002328249?ntype=RANKING
"파병 요청하더니…위험해서? 美, 기뢰제거함 걸프지역서 수천km 밖으로 뺐다",https://n.news.naver.com/article/030/0003408148?ntype=RANKING
이란 전쟁에 금도 무너졌다…금값 한달 만에 5000달러 붕괴,https://n.news.naver.com/article/030/0003408100?ntype=RANKING
"[단독]쿠팡, 일반회원 1만9800원 이상 결제해야 무료 로켓배송…판매가 아닌 '실결제액' 기준으로 변경",https://n.news.naver.com/article/030/0003407969?ntype=RANKING
단 5시간 '동작 학습'으로 테니스 고수가 된 로봇,https://n.news.naver.com/article/030/0003408018?ntype=RANKING
"부동산 중개 없이 챗GPT로 5일만에 집 팔아…""중개 수수료도 아껴""",https://n.news.naver.com/article/030/0003408019?ntype=RANKING
"'현역' 김영환 자른 野, 울산 김두겸·강원 김진태·경남 박완수 단수공천",https://n.news.naver.com/article/586/0000124547?ntype=RANKING
"""망나니 칼춤"" 반발에…국민의힘, 부산시장 경선 치르기로",https://n.news.naver.com/article/586/0000124555?ntype=RANKING
"李 대통령 ""부동산 세금은 핵폭탄 같은 것…최후의 수단으로 써야""",https://n.news.naver.com/article/586/0000124562?ntype=RANKING
